male,Pclass,Fare_fill,Age_fill,Miss,Mr,Mrs,UncommonFemale,UncommonMale,Q,S,SibSp,Parch,FamilySize
1,1,38.5,47.0,0,1,0,0,0,0,1,0,0,1
0,3,20.525,31.0,0,0,1,0,0,0,1,1,1,3
1,1,77.2875,54.0,0,1,0,0,0,0,1,0,1,2
1,1,71.0,70.0,0,0,0,0,1,0,1,1,1,3
0,3,7.8292,21.824366197183103,1,0,0,0,0,1,0,0,0,1
0,2,19.5,41.0,0,0,1,0,0,0,1,0,1,2
1,3,9.5,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,10.5167,22.0,1,0,0,0,0,0,1,0,0,1
1,3,7.75,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,3,7.8958,19.0,0,1,0,0,0,0,1,0,0,1
0,1,262.375,21.0,1,0,0,0,0,0,0,2,2,5
1,3,17.8,25.0,0,1,0,0,0,0,1,1,0,2
1,2,73.5,21.0,0,1,0,0,0,0,1,2,0,3
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,7.925,21.0,0,1,0,0,0,0,1,0,0,1
0,3,8.85,24.0,1,0,0,0,0,0,1,0,0,1
0,2,21.0,27.0,0,0,1,0,0,0,1,1,0,2
1,3,27.9,4.0,0,0,0,0,0,0,1,3,2,6
1,3,39.6875,1.0,0,0,0,0,0,0,1,4,1,6
1,3,8.7125,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,3,7.05,20.0,0,1,0,0,0,0,1,0,0,1
1,1,61.9792,65.0,0,1,0,0,0,0,0,0,1,2
1,2,24.0,30.0,0,1,0,0,0,0,0,1,0,2
0,1,227.525,38.0,1,0,0,0,0,0,0,0,0,1
1,1,49.5042,71.0,0,1,0,0,0,0,0,0,0,1
1,1,61.3792,51.0,0,1,0,0,0,0,0,0,1,2
1,3,7.8542,18.0,0,1,0,0,0,0,1,1,1,3
0,1,55.9,39.0,0,0,1,0,0,0,1,1,0,2
1,2,26.0,54.0,0,1,0,0,0,0,1,0,0,1
1,3,7.2292,20.0,0,1,0,0,0,0,0,0,0,1
1,3,31.3875,3.0,0,0,0,0,0,0,1,4,2,7
1,2,10.5,36.0,0,1,0,0,0,0,1,0,0,1
1,3,15.7417,20.0,0,1,0,0,0,0,0,1,1,3
0,1,25.9292,49.0,0,0,0,0,1,0,1,0,0,1
1,3,16.1,44.0,0,1,0,0,0,0,1,0,1,2
0,3,29.125,39.0,0,0,1,0,0,1,0,0,5,6
1,3,7.225,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,1,153.4625,38.0,0,1,0,0,0,0,1,0,1,2
1,1,133.65,50.0,0,0,0,0,1,0,1,2,0,3
1,1,0.0,40.0,0,1,0,0,0,0,1,0,0,1
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,1,26.55,62.0,0,1,0,0,0,0,1,0,0,1
0,1,120.0,14.0,1,0,0,0,0,0,1,1,2,4
1,3,7.25,22.0,0,1,0,0,0,0,1,1,0,2
1,3,15.5,32.25215146299484,0,1,0,0,0,1,0,1,0,2
1,3,7.75,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,3,7.2292,17.0,0,1,0,0,0,0,0,1,1,3
0,3,18.0,18.0,1,0,0,0,0,0,1,2,0,3
1,3,7.925,37.0,0,1,0,0,0,0,1,2,0,3
0,1,108.9,17.0,0,0,1,0,0,0,0,1,0,2
1,3,10.1708,19.0,0,1,0,0,0,0,1,0,0,1
1,1,27.7208,40.0,0,0,0,0,1,0,0,0,0,1
1,3,29.125,7.0,0,0,0,0,0,1,0,4,1,6
1,2,13.0,30.0,0,1,0,0,0,0,1,0,0,1
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,1,120.0,11.0,0,0,0,0,0,0,1,1,2,4
1,2,26.0,44.0,0,1,0,0,0,0,1,1,0,2
1,2,11.5,21.0,0,1,0,0,0,0,1,1,0,2
0,2,23.0,18.0,1,0,0,0,0,0,1,0,1,2
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,1,164.8667,31.0,1,0,0,0,0,0,1,0,2,3
1,2,10.5,28.0,0,1,0,0,0,0,1,0,0,1
1,3,7.2292,28.5,0,1,0,0,0,0,0,0,0,1
1,3,15.1,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,69.55,5.482641509433964,0,0,0,0,0,0,1,8,2,11
1,2,13.0,23.0,0,1,0,0,0,0,1,0,0,1
1,1,52.0,31.0,0,1,0,0,0,0,1,1,0,2
0,3,21.075,3.0,1,0,0,0,0,0,1,3,1,5
0,3,15.2458,9.0,1,0,0,0,0,0,0,1,1,3
1,3,7.2292,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,3,7.4958,24.0,0,1,0,0,0,0,1,0,0,1
1,2,26.0,25.0,0,1,0,0,0,0,1,1,0,2
1,3,7.225,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,3,27.9,40.0,0,1,0,0,0,0,1,1,4,6
1,3,8.4333,21.0,0,1,0,0,0,0,1,0,0,1
1,2,14.0,54.0,0,0,0,0,1,0,1,0,0,1
1,1,90.0,38.0,0,1,0,0,0,0,1,1,0,2
1,1,110.8833,49.0,0,1,0,0,0,0,0,1,1,3
0,3,15.2458,29.0,0,0,1,0,0,0,0,0,2,3
0,1,89.1042,36.91812865497076,0,0,1,0,0,0,0,1,0,2
0,2,26.0,44.0,0,0,1,0,0,0,1,1,0,2
0,2,26.0,50.0,0,0,1,0,0,0,1,0,1,2
0,3,22.3583,36.91812865497076,0,0,1,0,0,0,0,0,2,3
1,3,7.75,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,3,69.55,32.25215146299484,0,1,0,0,0,0,1,8,2,11
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,7.75,21.824366197183103,1,0,0,0,0,1,0,0,2,3
0,3,10.4625,2.0,1,0,0,0,0,0,1,0,1,2
1,2,73.5,18.0,0,1,0,0,0,0,1,0,0,1
0,3,7.225,36.91812865497076,0,0,1,0,0,0,0,0,0,1
1,3,24.15,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,3,8.6625,20.0,0,1,0,0,0,0,1,0,0,1
1,3,7.2292,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,2,13.0,28.0,0,1,0,0,0,0,1,0,0,1
1,1,26.2875,35.0,0,1,0,0,0,0,1,0,0,1
1,3,8.5167,0.42,0,0,0,0,0,0,0,0,1,2
0,3,16.1,26.0,0,0,1,0,0,0,1,1,0,2
1,1,35.0,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,1,52.5542,47.0,0,0,1,0,0,0,1,1,1,3
1,2,14.5,0.67,0,0,0,0,0,0,1,1,1,3
0,3,7.7333,16.0,1,0,0,0,0,1,0,0,0,1
0,3,69.55,21.824366197183103,1,0,0,0,0,0,1,8,2,11
0,2,15.75,40.0,0,0,1,0,0,0,1,0,0,1
1,3,7.2292,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,3,7.7333,32.25215146299484,0,1,0,0,0,1,0,0,0,1
0,2,13.0,24.0,1,0,0,0,0,0,1,0,0,1
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,15.2458,5.482641509433964,0,0,0,0,0,0,0,1,1,3
1,1,26.3875,36.0,0,1,0,0,0,0,1,0,0,1
1,3,9.5,16.0,0,1,0,0,0,0,1,0,0,1
1,3,23.25,32.25215146299484,0,1,0,0,0,1,0,2,0,3
1,3,7.225,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,2,13.0,28.0,1,0,0,0,0,0,1,0,0,1
1,3,9.5,30.0,0,1,0,0,0,0,1,0,0,1
1,3,14.5,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,9.5,28.0,0,1,0,0,0,0,1,0,0,1
1,3,9.4833,29.0,0,1,0,0,0,0,1,0,0,1
1,3,7.225,40.0,0,1,0,0,0,0,0,0,0,1
1,3,23.45,32.25215146299484,0,1,0,0,0,0,1,1,2,4
1,3,7.925,39.0,0,1,0,0,0,0,1,0,0,1
1,1,113.275,58.0,0,1,0,0,0,0,0,0,2,3
1,2,13.0,52.0,0,1,0,0,0,0,1,0,0,1
1,3,20.525,9.0,0,0,0,0,0,0,1,0,2,3
0,1,211.3375,43.0,0,0,1,0,0,0,1,0,1,2
0,3,27.9,2.0,1,0,0,0,0,0,1,3,2,6
1,3,7.8958,27.0,0,1,0,0,0,0,1,0,0,1
0,2,26.0,26.0,0,0,1,0,0,0,1,1,1,3
1,1,25.5875,47.0,0,1,0,0,0,0,1,0,0,1
0,2,27.75,33.0,0,0,1,0,0,0,1,1,2,4
1,3,8.05,19.0,0,1,0,0,0,0,1,0,0,1
1,3,7.925,44.0,0,1,0,0,0,0,1,0,0,1
0,1,83.1583,39.0,1,0,0,0,0,0,0,1,1,3
0,1,55.0,36.91812865497076,0,0,1,0,0,0,1,0,1,2
1,3,24.15,36.0,0,1,0,0,0,0,1,1,1,3
1,3,69.55,32.25215146299484,0,1,0,0,0,0,1,8,2,11
1,3,8.05,19.0,0,1,0,0,0,0,1,0,0,1
0,3,15.5,21.824366197183103,1,0,0,0,0,1,0,1,0,2
1,3,7.925,39.0,0,1,0,0,0,0,1,0,0,1
1,2,15.05,32.25215146299484,0,1,0,0,0,0,0,0,0,1
0,3,15.85,24.0,0,0,1,0,0,0,1,1,0,2
1,2,29.0,0.83,0,0,0,0,0,0,1,0,2,3
1,1,57.0,31.0,0,1,0,0,0,0,1,1,0,2
1,2,27.75,36.0,0,1,0,0,0,0,1,1,2,4
1,3,7.925,32.0,0,1,0,0,0,0,1,0,0,1
1,3,7.75,31.0,0,1,0,0,0,1,0,0,0,1
0,2,21.0,30.0,0,0,1,0,0,0,1,3,0,4
0,2,10.5,29.0,0,0,1,0,0,0,1,0,0,1
1,2,11.5,23.0,0,1,0,0,0,0,1,2,1,4
0,1,135.6333,36.0,1,0,0,0,0,0,0,0,0,1
0,2,26.0,42.0,0,0,1,0,0,0,1,1,0,2
0,2,26.0,19.0,1,0,0,0,0,0,1,0,0,1
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,7.8792,21.824366197183103,1,0,0,0,0,1,0,0,0,1
1,3,8.6625,42.0,0,1,0,0,0,0,1,0,0,1
1,3,7.8958,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,1,110.8833,39.0,0,0,1,0,0,0,0,1,1,3
0,3,12.475,27.0,0,0,1,0,0,0,1,0,1,2
1,3,7.75,18.0,0,1,0,0,0,0,1,0,0,1
1,1,33.5,61.0,0,1,0,0,0,0,1,0,0,1
1,3,16.1,24.0,0,1,0,0,0,0,1,1,0,2
1,3,7.8542,20.0,0,1,0,0,0,0,1,0,0,1
0,2,27.0,24.0,0,0,1,0,0,0,1,2,1,4
0,3,31.275,6.0,1,0,0,0,0,0,1,4,2,7
1,1,30.5,55.0,0,1,0,0,0,0,1,0,0,1
1,2,73.5,32.0,0,1,0,0,0,0,1,2,0,3
1,3,9.5,28.0,0,1,0,0,0,0,1,0,0,1
0,2,10.5,57.0,0,0,1,0,0,0,1,0,0,1
1,2,10.5,32.0,0,1,0,0,0,0,1,0,0,1
0,2,41.5792,3.0,1,0,0,0,0,0,0,1,2,4
1,2,12.875,36.0,0,1,0,0,0,0,0,0,0,1
0,2,13.0,24.0,1,0,0,0,0,0,1,0,0,1
1,1,40.125,36.0,0,1,0,0,0,0,0,0,0,1
0,2,26.0,28.0,0,0,1,0,0,0,1,1,0,2
1,3,7.2292,23.5,0,1,0,0,0,0,0,0,0,1
1,3,6.75,19.0,0,1,0,0,0,1,0,0,0,1
0,1,31.0,30.0,1,0,0,0,0,0,0,0,0,1
0,2,26.0,29.0,0,0,1,0,0,0,1,1,0,2
0,1,30.0,19.0,1,0,0,0,0,0,1,0,0,1
1,3,9.5,33.0,0,1,0,0,0,0,1,0,0,1
1,3,7.8,21.0,0,1,0,0,0,0,1,0,0,1
0,3,7.8792,19.0,1,0,0,0,0,1,0,0,0,1
1,3,46.9,14.0,0,1,0,0,0,0,1,5,2,8
1,1,0.0,38.0,0,0,0,0,1,0,1,0,0,1
0,3,7.8542,26.0,1,0,0,0,0,0,1,0,0,1
1,3,7.125,22.0,0,1,0,0,0,0,1,0,0,1
1,1,512.3292,35.0,0,1,0,0,0,0,0,0,0,1
1,3,6.8583,32.25215146299484,0,1,0,0,0,1,0,0,0,1
1,3,7.75,32.0,0,1,0,0,0,1,0,0,0,1
1,3,9.5,24.0,0,1,0,0,0,0,1,0,0,1
0,1,86.5,16.0,1,0,0,0,0,0,1,0,0,1
1,2,26.0,3.0,0,0,0,0,0,0,1,1,1,3
1,3,8.05,51.0,0,1,0,0,0,0,1,0,0,1
1,1,0.0,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,8.05,16.0,0,1,0,0,0,0,1,0,0,1
1,3,0.0,25.0,0,1,0,0,0,0,1,0,0,1
1,3,31.275,39.0,0,1,0,0,0,0,1,1,5,7
0,3,16.1,36.91812865497076,0,0,1,0,0,0,1,1,0,2
1,1,26.55,62.0,0,1,0,0,0,0,1,0,0,1
1,3,7.775,16.0,0,1,0,0,0,0,1,0,0,1
0,2,21.0,35.0,1,0,0,0,0,0,1,0,0,1
1,2,13.0,32.25215146299484,0,1,0,0,0,0,1,0,0,1
1,3,14.5,40.5,0,1,0,0,0,0,1,0,2,3
0,3,7.8542,14.0,1,0,0,0,0,0,1,0,0,1
1,3,14.4542,26.0,0,1,0,0,0,0,0,1,0,2
1,3,8.6625,17.0,0,1,0,0,0,0,1,0,0,1
1,1,52.0,48.0,0,1,0,0,0,0,1,1,0,2
0,2,13.0,28.0,1,0,0,0,0,0,1,0,0,1
1,1,52.5542,42.0,0,1,0,0,0,0,1,1,0,2
1,2,13.0,34.0,0,1,0,0,0,0,1,0,0,1
1,3,20.575,26.0,0,1,0,0,0,0,1,1,2,4
0,3,14.4542,18.0,1,0,0,0,0,0,0,0,1,2
1,2,13.0,36.0,0,1,0,0,0,0,1,0,0,1
1,1,26.2875,42.0,0,1,0,0,0,0,1,0,0,1
1,2,13.0,25.0,0,1,0,0,0,0,1,0,0,1
1,3,27.9,10.0,0,0,0,0,0,0,1,3,2,6
0,1,113.275,31.0,1,0,0,0,0,0,0,1,0,2
1,3,7.8958,22.0,0,1,0,0,0,0,1,0,0,1
0,3,7.8542,31.0,1,0,0,0,0,0,1,0,0,1
0,2,13.0,36.0,1,0,0,0,0,0,1,0,0,1
1,3,46.9,9.0,0,0,0,0,0,0,1,5,2,8
1,2,12.525,51.0,0,0,0,0,1,0,1,0,0,1
0,3,9.35,18.0,0,0,1,0,0,0,1,0,1,2
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,1,151.55,2.0,1,0,0,0,0,0,1,1,2,4
1,3,8.05,55.5,0,1,0,0,0,0,1,0,0,1
1,1,29.7,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,3,0.0,19.0,0,1,0,0,0,0,1,0,0,1
1,3,7.2292,32.25215146299484,0,1,0,0,0,0,0,0,0,1
1,3,8.05,21.0,0,1,0,0,0,0,1,0,0,1
1,2,39.0,60.0,0,1,0,0,0,0,1,1,1,3
1,3,56.4958,28.0,0,1,0,0,0,0,1,0,0,1
0,3,8.05,36.91812865497076,0,0,1,0,0,0,1,0,0,1
1,3,29.125,8.0,0,0,0,0,0,1,0,4,1,6
1,3,8.05,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,3,25.4667,21.824366197183103,1,0,0,0,0,0,1,3,1,5
1,2,73.5,24.0,0,1,0,0,0,0,1,2,0,3
1,3,8.05,22.0,0,1,0,0,0,0,1,0,0,1
1,2,10.5,23.0,0,0,0,0,1,0,1,0,0,1
1,2,0.0,32.25215146299484,0,1,0,0,0,0,1,0,0,1
0,1,78.2667,54.0,1,0,0,0,0,0,0,1,0,2
